idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine
40765;SIMONETTI MARIO S.R.L.;Api-Ip;Altro;Stazione di Servizio IP - Jesi;VIA GUGLIELMO MARCONI 171 60035;JESI;AN;43.51396892583735;13.254521056051771
23463;STAZIONE DI SERVIZIO PIT STOP DI RAFFAELLI IVANO & C. S.N.C.;Agip Eni;Altro;Stazione di servizio Pit Stop s.n.c.;VIA MINONNA 67/A 60035;JESI;AN;43.50121134680422;13.269006205032383
4423;STAZIONE DI SERVIZIO DI BASTIANELLI MARINA;Pompe Bianche;Altro;STAZIONE M3;VIA ROMA 210 60035;JESI;AN;43.50595775597102;13.190446217790964
34831;STOP ' N '  GO S.A.S. DI SABBATINI STEFANIA E C.;Pompe Bianche;Altro;Stop'n'go;VIA PASQUINELLI SNC 60035;JESI;AN;43.535386658584905;13.26470658079245
14497;MAZZARINI PRIMO;Total Erg;Altro;TOTALERG MAZZARINI PRIMO;VIALE DON MINZONI 9/BIS 60035;JESI;AN;43.52636533673229;13.25541603569036
34661;GROUP GIRARDI SERVICE DI ANTIGNANO ANTONIO & C. S.A.S.;Total Erg;Altro;TOTALERG SPA;VIA ANCONA 48 60035;JESI;AN;43.532938943922325;13.255215436220169
4419;AL.GA.SA. S.N.C. DI SCOPINI ALMO & C.;Agip Eni;Strada Statale;al.ga.sa.;Statale 16 Adriatica, Km. 325+814, dir. nord 60025;LORETO;AN;43.436824177195426;13.643560409545898
16921;BARTOLACCI RENATO;Agip Eni;Altro;bartolacci renato;VIA MANZONI  60025;LORETO;AN;43.4434426758687;13.618723154067993
19005;T.S. DI TESTASECCA CARLO & C. - S.N.C.;Agip Eni;Altro;Eni Testasecca & c.;VIA MANZONI  60025;LORETO;AN;43.44670297084552;13.608900904655457
12692;PATARCA DI PATARCA MIRKO & C. SAS;Esso;Strada Statale;ESSO;Statale 77 della Val di Chienti, Km. 122,538, dir. porto recanati 60025;LORETO;AN;43.440810475993025;13.62305760383606
16447;METANO LORETO - S.A.S. DI BULDORINI PIETRO & C.;Natural Gas;Altro;METANO LORETO SAS;VIA SELVE  60025;LORETO;AN;43.434585128429305;13.645456731319427
14663;PESARESI MASSIMO;Api-Ip;Altro;PESARESI MASSIMO;S. P. BELLALUCE KM 2 +827  60025;LORETO;AN;43.43055712524201;13.63601803779602
39030;STAZIONE DI SERVIZIO ENI DI ROSSI GIACOMO;Agip Eni;Altro;STAZIONE DI SERVIZIO ENI;VIA RISORGIMENTO 290 60030;MAIOLATI SPONTINI;AN;43.50279505515921;13.139782506186293
17104;ROUTE 76 S.R.L.;Interpetrol;Altro;route 76 s.r.l.;STRADA STATALE 76 KM.44  60030;MERGO;AN;43.46547341275565;13.056532144546509
4602;S.A.M. - SOCIETA' AUTOTRAZIONE METANO DI BRUNETTI ANTONIO & C. S.A.S.;Pompe Bianche;Altro;SAM METANO;VIA MONTIRONE 8 60030;MERGO;AN;43.45936936526418;13.051340728998184
19941;INTERPETROL - S.R.L.;Interpetrol;Altro;ENI Monsano;VIA SAN UBALDO 38 60030;MONSANO;AN;43.55677667283007;13.281522542238235
9011;LA CESOLA S.N.C. DI CIARMATORI ROSSANO E C.;Q8;Strada Statale;LA CESOLA S.N.C. di Ciarmatori R. e C.;Statale 76 della Val d'Esino, Km. 51+500, dir. Ancona;MONTE ROBERTO;AN;43.487701309574796;13.189635974987823
13373;PAPA GIUSEPPE & PAPA ENEA S.N.C.;Agip Eni;Strada Statale;STAZIONE SERVIZIO ENI DI PAPA SNC;Statale 76 della Val d'Esino, Km. 51+485, dir. FABRIANO;MONTE ROBERTO;AN;43.488312663195785;13.190497756004333
13976;CARLETTI FABIO;Api-Ip;Altro;Distrbutore IP;VIA BORGHETTO 50 60037;MONTE SAN VITO;AN;43.597378942464935;13.293015612268391
13789;ACEMA S.P.A.;Tamoil;Altro;Tamoil Monte S.Vito;STRADA STATALE 76 KM 71+280 S.P.VAL D'ESINO SN  60037;MONTE SAN VITO;AN;43.58561189439053;13.308598101139069
32598;"IP SERVICES S.R.L.";Api-Ip;Altro;MONTECAROTTO - DEI CASTELLI;S.P 11 DEI CASTELLI  60036;MONTECAROTTO;AN;43.529740314195095;13.075845246696417
23115;"IP SERVICES S.R.L.";Api-Ip;Strada Statale;MONTEMARCIANO - MARINA;Statale 16 Adriatica, Km. 281,168, dir. Falconara  60018;MONTEMARCIANO;AN;43.66776895695006;13.306221457672109
17537;NAE CAFFE' S.A.S. - GRUPPO RUGGERI DI NAE MARIA CRISTINA;Api-Ip;Strada Statale;nae caffè;Statale 16 Adriatica, Km. 282+025, dir. nord;MONTEMARCIANO;AN;43.663750509757215;13.315770328044891
38274;GROUP GIRARDI SERVICE DI ANTIGNANO ANTONIO & C. S.A.S.;Total Erg;Strada Statale;TOTALERG S.P.A.;Statale 16 Adriatica, Km. 283+630, dir. MARINA DI MONTEMARCIANO 60018;MONTEMARCIANO;AN;43.65676882883859;13.332652151584625
3721;FRISARI GIROLAMO;Q8;Autostradale;CONERO EST;Autostrada A14 BOLOGNA-BARI-TARANTO, Km. 239+000, dir. Nord 60026;NUMANA;AN;43.48274492771117;13.595473879623341
3706;Petrolconero s.a.s;Agip Eni;Autostradale;CONERO OVEST;Autostrada A14 BOLOGNA-BARI-TARANTO, Km. 239+000, dir. Sud 60026;NUMANA;AN;43.48072123010172;13.595604255294802
23281;PETROLIFERA ADRIATICA S.P.A.;Retitalia;Altro;DISTRIB. Retitalia NUMANA;VIA DEL CONERO  60026;NUMANA;AN;43.48991223942595;13.630063533782959
32668;"IP SERVICES S.R.L.";Api-Ip;Altro;NUMANA - FLAMINIA 83;VIA FLAMINIA 83 60026;NUMANA;AN;43.510955259206376;13.62184023313523
25619;SIMONETTI MARIO S.R.L.;Simonetti Petroli;Altro;Stazione di Servizio IS - Numana;VIA DEL CONERO SNC, 60026  ;NUMANA;AN;43.49837787715404;13.619261656591789
27183;SIMONETTI MARIO S.R.L.;Simonetti Petroli;Altro;Stazione di Servizio IS - Offagna;SPADARIA 2 SIROLO-SENIGALLIA KM16+665.7  60020;OFFAGNA;AN;43.53985950780516;13.452169941863986
